Adim,RR,Random,Softmax,RR_Ort,Random_Ort,Softmax_Ort
0,12.34,36.30,14.45,12.34,36.30,14.45
1,54.88,12.28,49.40,33.61,24.29,31.93
2,41.93,49.27,63.40,36.38,32.61,42.42
3,9.83,14.26,28.52,29.74,28.03,38.94
4,74.15,14.81,47.21,38.62,25.38,40.60
5,17.18,66.12,17.90,35.05,32.17,36.81
6,19.83,20.18,21.30,32.88,30.46,34.60
7,73.48,33.73,13.94,37.95,30.87,32.01
8,14.05,24.95,12.90,35.30,30.21,29.89
9,20.40,56.03,12.83,33.81,32.79,28.18
10,31.22,29.85,39.15,33.57,32.52,29.18
11,34.48,54.22,19.23,33.65,34.33,28.35
12,28.18,43.86,35.17,33.23,35.07,28.88
13,21.36,23.02,25.28,32.38,34.21,28.62
14,47.24,35.27,19.57,33.37,34.28,28.02
15,8.54,60.83,64.63,31.82,35.94,30.30
16,50.77,36.80,18.01,32.93,35.99,29.58
17,54.36,14.72,16.09,34.12,34.81,28.83
18,7.86,58.61,42.28,32.74,36.06,29.54
19,66.65,13.08,13.25,34.44,34.91,28.72
20,23.40,38.26,16.85,33.91,35.07,28.16
21,15.46,16.40,31.69,33.07,34.22,28.32
22,66.20,19.23,9.35,34.51,33.57,27.50
23,17.75,30.51,18.92,33.81,33.44,27.14
24,15.23,29.00,17.43,33.07,33.26,26.75
25,27.10,46.40,45.78,32.84,33.77,27.48
26,44.14,14.76,19.16,33.26,33.06,27.17
27,25.05,55.92,18.06,32.97,33.88,26.85
28,18.62,45.85,22.23,32.47,34.29,26.69
29,61.29,16.37,19.43,33.43,33.70,26.45
30,7.58,37.55,45.32,32.60,33.82,27.06
31,42.85,26.62,13.42,32.92,33.60,26.63
32,65.58,33.20,14.09,33.91,33.58,26.25
33,7.66,14.81,24.36,33.14,33.03,26.19
34,53.95,62.17,13.77,33.73,33.86,25.84
35,28.71,11.21,16.76,33.59,33.24,25.59
36,15.91,48.16,25.88,33.11,33.64,25.59
37,55.04,17.83,26.49,33.69,33.22,25.62
38,20.73,44.70,18.06,33.36,33.52,25.42
39,17.39,27.30,16.52,32.96,33.36,25.20
40,21.29,16.63,44.83,32.67,32.95,25.68
41,51.46,44.52,13.93,33.12,33.23,25.40
42,28.06,10.87,13.76,33.00,32.71,25.13
43,15.03,67.40,14.77,32.60,33.50,24.89
44,71.20,21.08,9.95,33.45,33.22,24.56
45,9.68,14.27,30.43,32.94,32.81,24.69
46,33.09,41.42,16.15,32.94,32.99,24.51
47,72.88,20.56,18.02,33.77,32.73,24.37
48,9.26,28.70,18.60,33.27,32.65,24.26
49,39.19,20.96,17.99,33.39,32.42,24.13
50,31.85,47.42,16.65,33.36,32.71,23.98
51,21.03,32.33,15.20,33.12,32.70,23.81
52,42.76,48.20,14.23,33.30,33.00,23.63
53,22.28,45.74,18.58,33.10,33.23,23.54
54,26.28,38.18,7.41,32.98,33.32,23.25
55,15.22,14.14,11.68,32.66,32.98,23.04
56,54.67,60.13,16.46,33.05,33.46,22.93
57,36.41,40.27,21.00,33.10,33.57,22.89
58,11.47,9.46,17.53,32.74,33.16,22.80
59,74.60,52.16,18.28,33.43,33.48,22.73
60,14.28,15.28,17.88,33.12,33.18,22.65
61,23.90,26.45,22.87,32.97,33.07,22.65
62,74.50,15.09,20.66,33.63,32.79,22.62
63,12.24,21.65,33.68,33.30,32.61,22.79
64,26.01,30.21,48.98,33.18,32.58,23.19
65,32.05,23.33,8.39,33.17,32.44,22.97
66,29.52,37.05,10.07,33.11,32.51,22.78
67,32.38,15.84,12.55,33.10,32.26,22.63
68,22.03,50.43,15.11,32.94,32.52,22.52
69,39.66,49.38,17.05,33.04,32.77,22.44
70,10.39,46.11,17.94,32.72,32.95,22.38
71,53.04,32.50,17.72,33.00,32.95,22.31
72,47.99,64.58,16.73,33.21,33.38,22.24
73,8.81,26.38,15.53,32.88,33.29,22.14
74,70.73,13.80,14.74,33.38,33.03,22.05
75,20.23,60.64,9.39,33.21,33.39,21.88
76,17.52,14.30,9.07,33.00,33.14,21.71
77,70.12,15.22,10.17,33.48,32.91,21.57
78,15.87,16.87,12.29,33.26,32.71,21.45
79,17.60,47.93,14.67,33.06,32.90,21.36
80,29.30,24.46,16.60,33.01,32.79,21.30
81,39.26,20.90,17.59,33.09,32.65,21.26
82,26.42,50.48,17.53,33.01,32.86,21.21
83,20.07,13.49,16.68,32.86,32.63,21.16
84,54.21,50.97,15.58,33.11,32.85,21.09
85,7.95,21.90,14.93,32.81,32.72,21.02
86,47.01,15.73,12.75,32.98,32.53,20.93
87,59.95,33.98,20.79,33.28,32.54,20.93
88,7.69,70.75,10.31,33.00,32.97,20.81
89,60.59,31.73,12.09,33.30,32.96,20.71
90,26.06,45.43,14.29,33.22,33.10,20.64
91,15.48,47.49,16.17,33.03,33.25,20.59
92,60.85,12.08,17.23,33.33,33.02,20.55
93,19.25,44.79,17.29,33.18,33.15,20.52
94,15.99,18.29,51.25,33.00,32.99,20.84
95,24.30,49.57,20.91,32.91,33.17,20.84
96,47.85,14.29,14.73,33.06,32.97,20.78
97,26.28,56.27,11.58,32.99,33.21,20.69
98,16.88,49.94,10.23,32.83,33.38,20.58
99,66.36,10.62,10.50,33.17,33.15,20.48
100,8.49,47.53,11.96,32.92,33.29,20.40
101,38.10,22.96,13.96,32.97,33.19,20.33
102,69.36,28.75,15.78,33.33,33.15,20.29
103,8.37,37.35,16.87,33.09,33.19,20.26
104,46.74,22.51,17.02,33.22,33.09,20.23
105,30.36,28.15,16.37,33.19,33.04,20.19
106,18.24,18.40,15.35,33.05,32.90,20.14
107,49.02,54.55,15.51,33.20,33.10,20.10
108,21.56,18.00,12.36,33.09,32.97,20.03
109,21.49,43.87,10.77,32.99,33.06,19.95
110,18.30,19.95,10.72,32.85,32.95,19.86
111,53.22,49.52,11.90,33.03,33.09,19.79
112,31.96,13.07,13.70,33.03,32.92,19.74
113,13.26,61.06,15.42,32.85,33.16,19.70
114,73.17,15.53,16.52,33.20,33.01,19.67
115,11.84,13.83,16.72,33.02,32.85,19.65
116,28.52,52.28,16.09,32.98,33.01,19.62
117,73.93,16.78,20.50,33.33,32.87,19.62
118,10.67,20.44,16.13,33.14,32.77,19.59
119,32.60,15.60,13.06,33.13,32.63,19.54
120,32.07,53.78,11.30,33.12,32.80,19.47
121,25.07,23.91,10.98,33.06,32.73,19.40
122,37.54,20.22,11.89,33.09,32.63,19.34
123,22.24,39.94,13.49,33.01,32.69,19.29
124,32.69,15.83,15.11,33.00,32.55,19.26
125,12.77,30.75,16.18,32.84,32.54,19.24
126,54.09,20.35,16.39,33.01,32.44,19.21
127,41.99,46.33,15.66,33.08,32.55,19.19
128,10.11,28.78,20.20,32.90,32.52,19.19
129,73.02,67.25,16.64,33.21,32.79,19.17
130,17.16,34.61,13.69,33.09,32.80,19.13
131,20.62,42.31,11.82,32.99,32.87,19.08
132,72.61,18.28,11.27,33.29,32.76,19.02
133,14.01,16.29,11.94,33.15,32.64,18.97
134,21.63,38.84,13.34,33.06,32.69,18.92
135,30.82,16.69,14.84,33.05,32.57,18.89
136,34.27,54.45,15.87,33.06,32.73,18.87
137,29.22,8.27,16.03,33.03,32.55,18.85
138,21.14,20.79,23.35,32.94,32.47,18.88
139,46.80,55.50,20.11,33.04,32.63,18.89
140,9.07,13.02,17.07,32.87,32.49,18.88
141,50.26,41.37,14.26,32.99,32.55,18.85
142,53.89,23.64,12.32,33.14,32.49,18.80
143,8.18,28.69,11.59,32.97,32.47,18.75
144,66.01,28.88,12.03,33.19,32.44,18.70
145,23.12,53.19,13.25,33.13,32.58,18.67
146,16.31,32.54,14.63,33.01,32.58,18.64
147,65.76,40.52,15.58,33.23,32.64,18.62
148,17.55,49.30,15.60,33.13,32.75,18.60
149,16.48,49.94,21.99,33.02,32.86,18.62
150,26.93,41.10,20.04,32.98,32.92,18.63
151,43.56,18.17,17.42,33.05,32.82,18.62
152,26.07,57.27,14.78,33.00,32.98,18.60
153,18.55,13.14,16.35,32.91,32.85,18.58
154,60.34,50.93,14.88,33.08,32.97,18.56
155,8.07,17.98,15.30,32.92,32.87,18.54
156,42.74,7.16,17.03,32.98,32.71,18.53
157,64.73,46.11,14.48,33.19,32.79,18.50
158,7.94,25.09,15.33,33.03,32.74,18.48
159,53.92,28.41,21.45,33.16,32.72,18.50
160,28.26,19.71,21.21,33.13,32.64,18.52
161,16.61,54.97,19.94,33.03,32.77,18.53
162,55.12,29.25,24.50,33.16,32.75,18.56
163,20.45,14.88,20.39,33.08,32.64,18.58
164,18.36,38.56,30.39,32.99,32.68,18.65
165,21.38,47.74,12.28,32.92,32.77,18.61
166,50.67,26.02,12.37,33.03,32.73,18.57
167,28.80,68.42,13.25,33.01,32.94,18.54
168,15.11,50.64,14.39,32.90,33.05,18.51
169,70.00,11.98,15.13,33.12,32.92,18.49
170,10.01,59.93,19.74,32.98,33.08,18.50
